,AS_1,MTV_1,FC_1,I_1,CR_1,PCT_1,AS_2,MTV_2,FC_2,I_2,CR_2,PCT_2,resultado
1_1,0.99609,5.5,5323.0,0.7760416666666666,2.6799999999999966,0,0.980465,4.75,7184.0,0.5546875,1.759999999999995,0,0
1_2,0.9531225000000001,5.75,907.5,0.609375,2.7800000000000002,0,0.967445,5.333333333333333,2204.6666666666665,0.5416666666666666,2.4799999999999933,0,0
1_3,0.9791599999999999,5.0,6157.333333333333,0.609375,2.37333333333333,0,0.8815083333333332,6.333333333333333,3128.3333333333335,0.6614583333333334,2.5866666666666664,0,0
1_4,0.90234,4.833333333333333,7091.0,0.8385416666666666,2.506666666666667,0,0.9986966666666667,3.8333333333333335,5160.333333333333,0.734375,2.12,0,1
2_1,0.994135,5.5,7220.0,0.7578125,2.379999999999995,0,0.9869766666666667,5.0,5299.0,0.640625,2.2666666666666635,0,1
2_2,0.9609350000000001,5.75,2479.0,0.5078125,3.099999999999995,0,0.9622366666666666,5.333333333333333,1157.0,0.609375,2.2666666666666635,0,0
2_3,0.9778600000000001,4.833333333333333,5637.333333333333,0.671875,1.6666666666666634,0,0.8828083333333333,6.5,3648.3333333333335,0.5989583333333334,3.293333333333333,0,0
2_4,0.9934866666666666,4.833333333333333,8312.333333333334,0.796875,2.813333333333334,0,0.9075500000000001,3.8333333333333335,3939.0,0.7760416666666666,1.8133333333333332,0,0
3_1,0.9980450000000001,5.5,3092.5,0.8125,2.9199999999999946,0,0.9843700000000001,5.0,8050.666666666667,0.6041666666666666,1.9066666666666634,0,0
3_2,0.9596333333333334,5.666666666666667,1698.0,0.5572916666666666,2.7599999999999967,0,0.96484,5.25,1667.5,0.5859375,2.359999999999995,0,1
3_3,0.9895783333333333,5.166666666666667,4248.0,0.5677083333333334,2.159999999999997,0,0.87109,6.166666666666667,5037.666666666667,0.703125,2.8000000000000003,0,1
3_4,0.9062466666666666,4.833333333333333,7571.0,0.7604166666666666,2.28,0,0.9947900000000001,3.8333333333333335,4680.333333333333,0.8125,2.3466666666666667,0,1
4_1,0.9973933333333335,4.0,3955.0,0.7864583333333334,2.93333333333333,0,0.9856733333333333,4.666666666666667,7418.666666666667,0.5677083333333334,1.9999999999999967,0,0
4_2,0.9531225000000001,5.75,907.5,0.609375,2.7800000000000002,0,0.9921850000000001,6.0,6580.0,0.6640625,2.06,0,1
4_3,0.9843700000000001,5.166666666666667,4434.333333333333,0.4895833333333333,2.6133333333333266,0,0.8515566666666666,5.5,4421.333333333333,0.671875,2.5466666666666633,0,1
4_4,0.90234,5.0,6197.666666666667,0.78125,2.0,0,0.9960933333333334,5.666666666666667,3040.3333333333335,0.7916666666666666,2.453333333333333,0,1
5_1,0.99609,4.0,5664.333333333333,0.75,2.813333333333334,0,0.9869766666666667,4.666666666666667,5709.333333333333,0.6041666666666666,2.1199999999999934,0,0
5_2,0.95703,5.5,136.0,0.65625,2.08,0,0.9778616666666667,6.0,4946.333333333333,0.6302083333333334,2.533333333333333,0,1
5_3,0.9739533333333333,5.5,5335.666666666667,0.5885416666666666,2.7333333333333303,0,0.8619733333333333,5.166666666666667,3520.0,0.5729166666666666,2.42666666666666,0,1
5_4,0.9010400000000001,5.166666666666667,3765.3333333333335,0.765625,1.84,0,0.9973933333333332,5.5,5472.666666666667,0.8072916666666666,2.6133333333333333,0,1
6_1,0.9973933333333332,5.333333333333333,6051.0,0.7135416666666666,2.56,0,0.9856733333333333,3.3333333333333335,5322.666666666667,0.640625,2.3733333333333264,0,1
6_2,0.9765600000000001,5.75,4436.0,0.6953125,2.0,0,0.9687475000000001,6.0,3051.5,0.578125,2.84,0,1
6_3,0.9635349999999999,5.166666666666667,3879.6666666666665,0.6302083333333334,2.6666666666666634,0,0.8723916666666667,5.5,4976.0,0.53125,2.4933333333333265,0,0
6_4,0.9049466666666667,5.5,3112.0,0.7604166666666666,2.48,0,0.9934866666666666,5.166666666666667,6126.0,0.8125,1.9733333333333334,0,0
7_1,0.9062466666666666,5.333333333333333,4765.333333333333,0.625,2.32,0,0.9908833333333334,5.666666666666667,3933.3333333333335,0.6979166666666666,2.039999999999997,0,0
7_2,0.9921833333333333,5.5,7973.333333333333,0.765625,2.3333333333333335,0,0.8671833333333333,4.666666666666667,4421.333333333333,0.640625,3.186666666666666,0,1
7_3,0.9707,5.0,220.0,0.6953125,2.899999999999995,0,0.9941375,4.75,4352.5,0.6796875,1.419999999999995,0,1
7_4,0.9713516666666667,5.666666666666667,3114.6666666666665,0.7135416666666666,2.453333333333333,0,0.9765583333333333,4.5,7202.666666666667,0.578125,2.5599999999999934,0,1
8_1,0.9049433333333333,5.5,4037.3333333333335,0.6875,2.4399999999999964,0,0.9921866666666667,5.5,4661.333333333333,0.6354166666666666,1.9200000000000002,0,0
